J,KT,KQ,eta0
0.00,0.624,0.1283,0.000
0.01,0.622,0.1278,0.008
0.02,0.620,0.1274,0.015
0.03,0.618,0.1269,0.023
0.04,0.615,0.1264,0.031
0.05,0.613,0.1259,0.039
0.06,0.611,0.1255,0.046
0.07,0.608,0.1250,0.054
0.08,0.606,0.1245,0.062
0.09,0.603,0.1240,0.070
0.10,0.600,0.1234,0.077
0.11,0.598,0.1229,0.085
0.12,0.595,0.1224,0.093
0.13,0.592,0.1218,0.101
0.14,0.589,0.1213,0.108
0.15,0.587,0.1207,0.116
0.16,0.584,0.1202,0.124
0.17,0.581,0.1196,0.131
0.18,0.578,0.1190,0.139
0.19,0.575,0.1185,0.147
0.20,0.572,0.1179,0.154
0.21,0.569,0.1173,0.162
0.22,0.565,0.1167,0.170
0.23,0.562,0.1161,0.177
0.24,0.559,0.1155,0.185
0.25,0.556,0.1148,0.193
0.26,0.552,0.1142,0.200
0.27,0.549,0.1136,0.208
0.28,0.546,0.1129,0.215
0.29,0.542,0.1123,0.223
0.30,0.539,0.1116,0.230
0.31,0.535,0.1110,0.238
0.32,0.532,0.1103,0.246
0.33,0.528,0.1097,0.253
0.34,0.525,0.1090,0.261
0.35,0.521,0.1083,0.268
0.36,0.517,0.1076,0.276
0.37,0.514,0.1069,0.283
0.38,0.510,0.1062,0.290
0.39,0.506,0.1055,0.298
0.40,0.502,0.1048,0.305
0.41,0.499,0.1041,0.313
0.42,0.495,0.1034,0.320
0.43,0.491,0.1026,0.327
0.44,0.487,0.1019,0.335
0.45,0.483,0.1012,0.342
0.46,0.479,0.1004,0.349
0.47,0.475,0.0997,0.357
0.48,0.471,0.0989,0.364
0.49,0.467,0.0981,0.371
0.50,0.463,0.0974,0.378
0.51,0.459,0.0966,0.385
0.52,0.455,0.0958,0.393
0.53,0.450,0.0951,0.400
0.54,0.446,0.0943,0.407
0.55,0.442,0.0935,0.414
0.56,0.438,0.0927,0.421
0.57,0.434,0.0919,0.428
0.58,0.429,0.0911,0.435
0.59,0.425,0.0903,0.442
0.60,0.421,0.0895,0.449
0.61,0.416,0.0886,0.456
0.62,0.412,0.0878,0.463
0.63,0.408,0.0870,0.470
0.64,0.403,0.0862,0.476
0.65,0.399,0.0853,0.483
0.66,0.394,0.0845,0.490
0.67,0.390,0.0837,0.497
0.68,0.385,0.0828,0.503
0.69,0.381,0.0820,0.510
0.70,0.376,0.0811,0.517
0.71,0.372,0.0802,0.523
0.72,0.367,0.0794,0.530
0.73,0.362,0.0785,0.536
0.74,0.358,0.0776,0.543
0.75,0.353,0.0768,0.549
0.76,0.349,0.0759,0.556
0.77,0.344,0.0750,0.562
0.78,0.339,0.0741,0.568
0.79,0.335,0.0732,0.574
0.80,0.330,0.0723,0.581
0.81,0.325,0.0714,0.587
0.82,0.320,0.0705,0.593
0.83,0.316,0.0696,0.599
0.84,0.311,0.0687,0.605
0.85,0.306,0.0678,0.611
0.86,0.301,0.0669,0.617
0.87,0.297,0.0660,0.622
0.88,0.292,0.0651,0.628
0.89,0.287,0.0642,0.634
0.90,0.282,0.0632,0.639
0.91,0.277,0.0623,0.645
0.92,0.273,0.0614,0.650
0.93,0.268,0.0605,0.656
0.94,0.263,0.0595,0.661
0.95,0.258,0.0586,0.666
0.96,0.253,0.0577,0.671
0.97,0.248,0.0567,0.676
0.98,0.244,0.0558,0.681
0.99,0.239,0.0548,0.686
1.00,0.234,0.0539,0.691
1.01,0.229,0.0529,0.696
1.02,0.224,0.0520,0.700
1.03,0.219,0.0510,0.705
1.04,0.214,0.0501,0.709
1.05,0.210,0.0491,0.713
1.06,0.205,0.0481,0.717
1.07,0.200,0.0472,0.721
1.08,0.195,0.0462,0.725
1.09,0.190,0.0452,0.728
1.10,0.185,0.0443,0.732
1.11,0.180,0.0433,0.735
1.12,0.175,0.0423,0.738
1.13,0.170,0.0414,0.741
1.14,0.166,0.0404,0.744
1.15,0.161,0.0394,0.746
1.16,0.156,0.0384,0.749
1.17,0.151,0.0375,0.751
1.18,0.146,0.0365,0.752
1.19,0.141,0.0355,0.754
1.20,0.136,0.0345,0.755
1.21,0.132,0.0335,0.756
1.22,0.127,0.0325,0.756
1.23,0.122,0.0316,0.756
1.24,0.117,0.0306,0.756
1.25,0.112,0.0296,0.755
1.26,0.107,0.0286,0.753
1.27,0.103,0.0276,0.751
1.28,0.098,0.0266,0.749
1.29,0.093,0.0256,0.745
1.30,0.088,0.0246,0.741
1.31,0.084,0.0237,0.736
1.32,0.079,0.0227,0.731
1.33,0.074,0.0217,0.723
1.34,0.069,0.0207,0.715
1.35,0.065,0.0197,0.705
1.36,0.060,0.0187,0.694
1.37,0.055,0.0177,0.680
1.38,0.051,0.0167,0.665
1.39,0.046,0.0157,0.646
1.40,0.041,0.0147,0.624
1.41,0.037,0.0137,0.598
1.42,0.032,0.0127,0.568
1.43,0.027,0.0117,0.531
1.44,0.023,0.0107,0.486
1.45,0.018,0.0097,0.431
1.46,0.014,0.0088,0.363
1.47,0.009,0.0078,0.275
1.48,0.005,0.0068,0.161
1.49,0.000,0.0058,0.005
